place,Count_Person,Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,Median_Age_Person,Median_Income_Household,Percent_Person_WithAsthma,Percent_Person_WithHighBloodPressure
zip/20902,54261.0,17089.0,36.6,114486.0,10.2,28.8
zip/21679,306.0,135.0,69.5,119821.0,10.4,34.1
zip/21207,47099.0,9656.0,39.5,67060.0,12.8,44.9
zip/20777,3221.0,1647.0,45.5,226146.0,9.2,31.4
zip/20770,28384.0,8040.0,34.2,84096.0,11.0,34.3
zip/21162,4639.0,1310.0,37.5,157813.0,10.1,32.2
zip/20866,15986.0,5067.0,39.9,140308.0,10.5,32.2
zip/21738,3696.0,1717.0,41.2,250001.0,10.0,31.1
zip/21667,291.0,21.0,59.5,64122.0,10.4,35.7
zip/20779,883.0,301.0,57.1,178452.0,10.2,38.5
zip/21128,15501.0,5907.0,40.1,128069.0,10.3,33.7
zip/21090,10652.0,3089.0,36.8,138119.0,10.7,32.7
zip/20745,28605.0,5659.0,40.0,75236.0,11.6,38.7
zip/20769,6947.0,2671.0,44.1,139773.0,10.6,39.4
zip/20794,16814.0,3711.0,36.8,116406.0,10.7,31.1
zip/20759,6624.0,3672.0,40.6,250001.0,8.9,27.3
zip/21204,19845.0,9476.0,34.8,99606.0,10.9,29.8
zip/21036,2569.0,1289.0,48.8,218036.0,9.2,31.3
zip/21082,626.0,265.0,54.2,145571.0,9.5,37.5
zip/21733,1275.0,221.0,41.2,109896.0,11.3,38.1
zip/20783,50333.0,6298.0,32.8,86737.0,10.6,32.0
zip/20762,3130.0,537.0,24.4,87407.0,10.2,21.1
zip/21114,25590.0,10465.0,36.4,141344.0,10.4,29.2
zip/20877,38546.0,8560.0,36.8,92800.0,10.3,31.2
zip/21612,470.0,240.0,70.2,117794.0,10.6,40.1
zip/20815,30505.0,18538.0,46.2,194971.0,9.3,30.5
zip/20901,36435.0,14887.0,39.5,131386.0,10.3,30.2
zip/21840,576.0,69.0,41.9,120324.0,11.0,45.8
zip/21665,229.0,79.0,60.4,150809.0,11.4,36.2
zip/20751,2851.0,841.0,44.4,123951.0,10.0,33.4
zip/20861,2890.0,1569.0,51.0,163438.0,9.6,32.5
zip/21737,2474.0,1236.0,38.8,250001.0,9.3,29.0
zip/21790,170.0,0.0,29.5,77656.0,9.6,28.4
zip/20758,714.0,177.0,44.2,240847.0,10.1,34.8
zip/20910,45943.0,25357.0,35.4,112134.0,10.1,26.1
zip/21634,465.0,75.0,38.4,83250.0,10.7,41.8
zip/20814,32795.0,20045.0,39.9,150996.0,9.2,26.6
zip/20782,34293.0,9482.0,36.6,90205.0,10.7,32.5
zip/21225,34062.0,3367.0,34.2,54020.0,13.2,37.5
zip/20784,33831.0,4660.0,35.6,86509.0,10.9,35.5
zip/20886,34718.0,10444.0,37.9,98542.0,10.4,30.1
zip/20895,19184.0,9711.0,41.9,173625.0,9.3,28.7
zip/21826,5451.0,1152.0,33.2,64946.0,11.5,34.9
zip/21719,1178.0,177.0,39.3,65809.0,11.8,37.5
zip/21676,439.0,191.0,69.6,112862.0,11.0,43.0
zip/20764,2993.0,750.0,52.8,118857.0,10.6,33.0
zip/21644,81.0,0.0,64.5,73480.0,10.8,35.0
zip/20860,2035.0,835.0,49.6,152768.0,9.4,38.2
zip/21723,669.0,386.0,48.3,241250.0,10.1,28.3
zip/20733,2669.0,688.0,43.2,126797.0,10.7,34.3
zip/21209,30126.0,11969.0,35.6,91437.0,10.5,31.7
zip/21814,217.0,0.0,62.9,94844.0,10.9,43.4
zip/20816,18140.0,10400.0,43.4,232656.0,9.2,28.9
zip/21647,320.0,165.0,56.1,113472.0,10.6,40.9
zip/20903,24815.0,4110.0,34.3,80768.0,10.9,32.2
zip/20737,24489.0,3457.0,31.7,86951.0,10.7,31.5
zip/20839,158.0,84.0,50.8,160329.0,9.7,30.2
zip/21153,456.0,335.0,65.8,220179.0,9.3,36.2
zip/21675,38.0,11.0,75.1,23958.0,10.8,45.0
zip/21716,7200.0,1725.0,38.5,109382.0,10.2,31.9
zip/21861,920.0,121.0,38.5,86027.0,10.9,36.5
zip/20851,14946.0,4916.0,38.6,126411.0,9.8,27.7
zip/20781,13352.0,3803.0,34.4,86018.0,10.5,31.2
zip/20912,25749.0,8837.0,38.2,83870.0,11.2,33.3
zip/21624,162.0,62.0,57.0,89375.0,10.1,48.6
zip/21824,264.0,2.0,45.8,90288.0,12.3,42.7
zip/21671,727.0,143.0,56.9,45125.0,10.4,45.7
zip/20623,2761.0,770.0,50.5,146058.0,11.4,41.6
zip/21402,4303.0,330.0,21.0,80893.0,10.4,24.5
zip/21627,26.0,16.0,72.3,96250.0,,
zip/20868,198.0,64.0,54.3,143333.0,10.1,33.4
zip/20862,430.0,237.0,56.0,189667.0,9.4,33.1
zip/21071,404.0,240.0,33.0,213500.0,10.4,34.4
zip/20722,6264.0,1147.0,38.9,91875.0,10.7,34.9
zip/21140,4417.0,1564.0,43.6,170156.0,10.1,33.1
zip/21056,291.0,271.0,66.6,250001.0,10.4,43.8
zip/20701,513.0,286.0,30.4,85594.0,10.7,26.0
zip/20688,1290.0,500.0,63.8,102950.0,8.9,44.9
zip/20710,9801.0,1027.0,31.7,63810.0,11.1,37.4
zip/21777,2462.0,801.0,43.8,159708.0,9.7,30.0
zip/20763,2601.0,893.0,35.9,76842.0,10.4,28.0
zip/21610,391.0,95.0,39.2,86250.0,10.9,40.0
zip/21156,204.0,81.0,37.3,124648.0,11.8,29.1
zip/21405,495.0,332.0,64.5,160703.0,9.5,39.7
zip/21628,248.0,37.0,49.8,115417.0,11.1,35.9
zip/20838,306.0,131.0,34.4,250001.0,10.2,31.7
zip/21031,26.0,0.0,19.5,,,
zip/20818,1539.0,978.0,52.7,245982.0,9.0,30.3
zip/20714,4525.0,1236.0,35.1,91099.0,11.3,34.7
zip/20629,1150.0,428.0,58.1,87389.0,9.9,43.1
zip/21523,150.0,20.0,37.6,59063.0,11.6,44.1
